Model,Series,Simplex_Duplex,Pump_Price,TEFC_AC_Price,XPFC_AC_Price,TEFC_DC_Price,XPFC_DC_Price,GPH_60Hz,GPH_50Hz,LPH_60Hz,LPH_50Hz,Max_Pressure_PSI,Max_Pressure_Bar,Max_Pressure_PSI_High_Pressure_Adder,Max_Pressure_Bar_High_Pressure_Adder,High_Pressure_Adder_Price,Max_SPM,Viton,Hypalon,EPDM,Liquid_End_Material,Conductive_Leak_Detection_Price_Adder,Vacuum_Leak_Detection_Price_Adder,Flange_Size,Ball_Size,Motor_HP_AC,Motor_HP_AC_High_Pressure,Motor_HP_DC_TEFC,Motor_HP_DC_XPFC,Liq_Inlet,Liq_Outlet,Spare_Parts_Kit_Model,Spare_Parts_Kit_Price,Spare_Parts_Kit_Info,Back_Pressure_Valve_150,Back_Pressure_Valve_750,Connection_Size,Pressure_Relief_Valve_150,Pressure_Relief_Valve_750,Port,Pulsation_Dampener,Calibration_Column,Calibration_Column_Info,Pressure_Gauge,Pressure_Gauge_Info,ECCA_Price,VFD_Price
CA4T3817-04013,Series 1000,Simplex,4256.7,698.5,1606.55,1475.2,6118,3.3,2.74,12.49,10.37,500,34,2500,172,554.4,170,0,0,0,316SS,1320,3108,"1/2""","1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013316,584.43,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",395.232,691.2,"1/4"" FNPT",481.344,691.2,2-Port,988.8,90.39,"PVC, 250 ml (4 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3817-05013,Series 1000,Simplex,6048.9,698.5,1606.55,1475.2,6118,3.3,2.74,12.49,10.37,500,34,2500,172,554.4,170,0,0,0,Alloy 20,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013C20,888.03,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"1/4"" FNPT",989.184,1267.2,2-Port,0,632.04,"PTFE, 250 ml (4 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3817-06013,Series 1000,Simplex,7642.5,698.5,1606.55,1475.2,6118,3.3,2.74,12.49,10.37,500,34,2500,172,554.4,170,0,0,0,Hast. C,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013HC,948.75,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"1/4"" FNPT",1363.44,1440,2-Port,0,632.04,"PTFE, 250 ml (4 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3817-08013,Series 1000,Simplex,4596.9,698.5,1606.55,1475.2,6118,3.3,2.74,12.49,10.37,150,10,0,0,0,170,0,0,0,PVC,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013PVC,584.43,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/4"" MNPT",172.224,0,2-Port,513.6,90.39,"PVC, 250 ml (4 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CA4T3817-0A013,Series 1000,Simplex,6893.7,698.5,1606.55,1475.2,6118,3.3,2.74,12.49,10.37,150,10,0,0,0,170,0,0,0,PVDF,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013KYN,734.712,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/4"" MNPT",369.84,0,2-Port,1701,632.04,"PVDF, 250 ml (4 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CA4T3829-04013,Series 1000,Simplex,4256.7,698.5,1606.55,1475.2,6118,0.55,0.46,2.08,1.73,500,34,2500,172,554.4,29,0,0,0,316SS,1320,3108,"1/2""","1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013316,584.43,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",395.232,691.2,"1/4"" FNPT",481.344,691.2,2-Port,988.8,85.56,"PVC, 100 ml (1.6 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3829-05013,Series 1000,Simplex,6048.9,698.5,1606.55,1475.2,6118,0.55,0.46,2.08,1.73,500,34,2500,172,554.4,29,0,0,0,Alloy 20,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013C20,888.03,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"1/4"" FNPT",989.184,1267.2,2-Port,0,752.1,"PTFE, 100 ml (1.6 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3829-06013,Series 1000,Simplex,7642.5,698.5,1606.55,1475.2,6118,0.55,0.46,2.08,1.73,500,34,2500,172,554.4,29,0,0,0,Hast. C,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013HC,948.75,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"1/4"" FNPT",1363.44,1440,2-Port,0,752.1,"PTFE, 100 ml (1.6 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3829-08013,Series 1000,Simplex,4596.9,698.5,1606.55,1475.2,6118,0.55,0.46,2.08,1.73,150,10,0,0,0,29,0,0,0,PVC,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013PVC,584.43,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/4"" MNPT",172.224,0,2-Port,513.6,85.56,"PVC, 100 ml (1.6 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CA4T3829-0A013,Series 1000,Simplex,6893.7,698.5,1606.55,1475.2,6118,0.55,0.46,2.08,1.73,150,10,0,0,0,29,0,0,0,PVDF,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013KYN,734.712,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/4"" MNPT",369.84,0,2-Port,1701,572.7,"PVDF, 100 ml (1.6 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CA4T3858-04013,Series 1000,Simplex,4256.7,698.5,1606.55,1475.2,6118,1.1,0.91,4.16,3.46,500,34,2500,172,554.4,58,0,0,0,316SS,1320,3108,"1/2""","1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013316,584.43,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",395.232,691.2,"1/4"" FNPT",481.344,691.2,2-Port,988.8,85.56,"PVC, 100 ml (1.6 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3858-05013,Series 1000,Simplex,6048.9,698.5,1606.55,1475.2,6118,1.1,0.91,4.16,3.46,500,34,2500,172,554.4,58,0,0,0,Alloy 20,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013C20,888.03,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"1/4"" FNPT",989.184,1267.2,2-Port,0,752.1,"PTFE, 100 ml (1.6 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3858-06013,Series 1000,Simplex,7642.5,698.5,1606.55,1475.2,6118,1.1,0.91,4.16,3.46,500,34,2500,172,554.4,58,0,0,0,Hast. C,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013HC,948.75,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"1/4"" FNPT",1363.44,1440,2-Port,0,752.1,"PTFE, 100 ml (1.6 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3858-08013,Series 1000,Simplex,4596.9,698.5,1606.55,1475.2,6118,1.1,0.91,4.16,3.46,150,10,0,0,0,58,0,0,0,PVC,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013PVC,584.43,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/4"" MNPT",172.224,0,2-Port,513.6,85.56,"PVC, 100 ml (1.6 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CA4T3858-0A013,Series 1000,Simplex,6893.7,698.5,1606.55,1475.2,6118,1.1,0.91,4.16,3.46,150,10,0,0,0,58,0,0,0,PVDF,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013KYN,734.712,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/4"" MNPT",369.84,0,2-Port,1701,572.7,"PVDF, 100 ml (1.6 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CA4T3897-04013,Series 1000,Simplex,4256.7,698.5,1606.55,1475.2,6118,1.85,1.54,7,5.81,500,34,2500,172,554.4,97,0,0,0,316SS,1320,3108,"1/2""","1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013316,584.43,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",395.232,691.2,"1/4"" FNPT",481.344,691.2,2-Port,988.8,85.56,"PVC, 100 ml (1.6 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3897-05013,Series 1000,Simplex,6048.9,698.5,1606.55,1475.2,6118,1.85,1.54,7,5.81,500,34,2500,172,554.4,97,0,0,0,Alloy 20,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013C20,888.03,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"1/4"" FNPT",989.184,1267.2,2-Port,0,752.1,"PTFE, 100 ml (1.6 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3897-06013,Series 1000,Simplex,7642.5,698.5,1606.55,1475.2,6118,1.85,1.54,7,5.81,500,34,2500,172,554.4,97,0,0,0,Hast. C,1320,3108,C/F,"1/4""",0.25,0.75,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013HC,948.75,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"1/4"" FNPT",1363.44,1440,2-Port,0,752.1,"PTFE, 100 ml (1.6 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 1/4"" FNPT connection size. ",2946,822
CA4T3897-08013,Series 1000,Simplex,4596.9,698.5,1606.55,1475.2,6118,1.85,1.54,7,5.81,150,10,0,0,0,97,0,0,0,PVC,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013PVC,584.43,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/4"" MNPT",172.224,0,2-Port,513.6,85.56,"PVC, 100 ml (1.6 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CA4T3897-0A013,Series 1000,Simplex,6893.7,698.5,1606.55,1475.2,6118,1.85,1.54,7,5.81,150,10,0,0,0,97,0,0,0,PVDF,1320,3108,C/F,"1/4""",0.25,0,0.33,1,"1/4"" MNPT","1/4"" MNPT",1021-013KYN,734.712,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/4"" MNPT",369.84,0,2-Port,1701,572.7,"PVDF, 100 ml (1.6 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ4T11312-04014,Series 1000,Simplex,3613.05,711.125,1635.5875,1475.2,6118,22,18.26,83.28,69.12,350,24,700,48,748.8,117,1380,1304.4,1304.4,316SS,1320,3108,"1/2""","3/8""",0.33,0.5,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-024316,584.43,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",480.24,691.2,"3/8"" FNPT",481.344,691.2,2-Port,988.8,104.88,"PVC, 1000 ml (16 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ4T11312-05014,Series 1000,Simplex,5131.5,711.125,1635.5875,1475.2,6118,22,18.26,83.28,69.12,350,24,700,48,973.44,117,1380,1304.4,1304.4,Alloy 20,1320,3108,C/F,"3/8""",0.33,0.5,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-024C20,888.03,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"3/8"" FNPT",989.184,1267.2,2-Port,0,1366.2,"PTFE, 1000 ml (16 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ4T11312-06014,Series 1000,Simplex,6506.25,711.125,1635.5875,1475.2,6118,22,18.26,83.28,69.12,350,24,700,48,1085.76,117,1380,1304.4,1304.4,Hast. C,1320,3108,C/F,"3/8""",0.33,0.5,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-024HC,948.75,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"3/8"" FNPT",1363.44,1440,2-Port,0,1366.2,"PTFE, 1000 ml (16 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 3/8"" NPT connection size. ",2946,822
CJ4T11312-08014,Series 1000,Simplex,3885,711.125,1635.5875,1475.2,6118,22,18.26,83.28,69.12,150,10,0,0,0,117,0,0,0,PVC,1320,3108,C/F,"3/8""",0.33,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-024PVC,584.43,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/2"" FNPT",187.68,0,2-Port,513.6,104.88,"PVC, 1000 ml (16 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ4T11312-0A014,Series 1000,Simplex,5991.7,711.125,1635.5875,1475.2,6118,22,18.26,83.28,69.12,150,10,0,0,0,117,0,0,0,PVDF,1320,3108,C/F,"3/8""",0.33,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-024KYN,734.712,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/2"" FNPT",539.856,0,2-Port,2696.4,1211.64,"PVDF, 1000 ml (16 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ4T11314-04014,Series 1000,Simplex,3613.05,711.125,1635.5875,1475.2,6118,25.7,21.33,97.29,80.75,350,24,700,48,748.8,140,1380,1304.4,1304.4,316SS,1320,3108,"1/2""","3/8""",0.33,0.5,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-024316,584.43,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",480.24,691.2,"3/8"" FNPT",481.344,691.2,2-Port,988.8,104.88,"PVC, 1000 ml (16 GPH)",289.248,"Pressure gauge Seal with a gauge, wetted material in 316SS, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ4T11314-05014,Series 1000,Simplex,5131.5,711.125,1635.5875,1475.2,6118,25.7,21.33,97.29,80.75,350,24,700,48,973.44,140,1380,1304.4,1304.4,Alloy 20,1320,3108,C/F,"3/8""",0.33,0.5,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-024C20,888.03,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",989.184,1267.2,"3/8"" FNPT",989.184,1267.2,2-Port,0,1366.2,"PTFE, 1000 ml (16 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Alloy 20, Max Pressure up to 300 PSI, with 3/8"" FNPT connection size. ",2946,822
CJ4T11314-06014,Series 1000,Simplex,6506.25,711.125,1635.5875,1475.2,6118,25.7,21.33,97.29,80.75,350,24,700,48,1085.76,140,1380,1304.4,1304.4,Hast. C,1320,3108,C/F,"3/8""",0.33,0.5,0.33,1,"3/8"" MNPT","3/8"" MNPT",1021-024HC,948.75,"Diaphragm, O-Rings, Check valves assembly, Retaining Ring, Spring wave washer, and hydraulic oil.",1363.44,1440,"3/8"" FNPT",1363.44,1440,2-Port,0,1366.2,"PTFE, 1000 ml (16 GPH)",0,"Pressure gauge Seal with a gauge, wetted material in Hast C, Max Pressure up to 300 PSI, with 3/8"" NPT connection size. ",2946,822
CJ4T11314-08014,Series 1000,Simplex,3885,711.125,1635.5875,1475.2,6118,25.7,21.33,97.29,80.75,150,10,0,0,0,140,0,0,0,PVC,1320,3108,C/F,"3/8""",0.33,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-024PVC,584.43,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",225.216,0,"1/2"" FNPT",187.68,0,2-Port,513.6,104.88,"PVC, 1000 ml (16 GPH)",199.824,"Pressure gauge Isolator with a gauge, wetted material in PVC, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
CJ4T11314-0A014,Series 1000,Simplex,5991.7,711.125,1635.5875,1475.2,6118,25.7,21.33,97.29,80.75,150,10,0,0,0,140,0,0,0,PVDF,1320,3108,C/F,"3/8""",0.33,0,0.33,1,"3/4"" FNPT","1/2"" FNPT",1021-024KYN,734.712,"Diaphragm, O-Rings, Balls, Valve seats, Retaining Ring, Spring wave washer, and hydraulic oil.",539.856,0,"1/2"" FNPT",539.856,0,2-Port,2696.4,1211.64,"PVDF, 1000 ml (16 GPH)",358.8,"Pressure gauge lsolator with a gauge, wetted material in PVDF, Max Pressure up to 200 PSI, with 1/2"" FNPT connection size. ",2946,822
